Paid Price,Postcode,Type,LSOA,total_floor_area_m2,Employment,Health,Crime,Income,Education,Address
350000,BA2 1JQ,S,E01014456,70,23450,25489,21710,52547,49.6,56 SOUTHDOWN ROAD
340000,BA2 1JT,S,E01014456,87,23450,25489,21710,52547,49.6,18 ROUNDHILL GROVE
427500,BA2 2LH,S,E01014456,82,23450,25489,21710,52547,49.6,4 ROWACRES
315000,BA2 1JN,T,E01014457,55,27454,28847,31729,52547,49.6,102 BLACKMORE DRIVE
440000,BA2 2LQ,D,E01014456,122,23450,25489,21710,52547,49.6,146 MARSDEN ROAD
440000,BA2 2LQ,D,E01014456,122,23450,25489,21710,52547,49.6,65 MARSDEN ROAD
295000,BA2 1JW,T,E01014457,55,27454,28847,31729,52547,49.6,61 BLACKMORE DRIVE
650000,BA2 1LR,D,E01014457,141,27454,28847,31729,52547,49.6,10 SLADEBROOK ROAD
400000,BA2 1LW,T,E01014455,89,13403,18268,8411,52547,49.6,9 LYTTON GARDENS
277500,BA2 1NP,S,E01014462,76,4167,8748,6219,42013,49.6,42 KELSTON VIEW
410000,BA2 1PL,S,E01014462,98,4167,8748,6219,42013,49.6,2 WINDRUSH CLOSE
260000,BA2 1RA,S,E01014462,73,4167,8748,6219,42013,49.6,123 SHERIDAN ROAD
305000,BA2 2AE,T,E01014433,58,10719,14718,15127,57156,49.6,5 CARDINAL CLOSE
440000,BA2 2AJ,T,E01014433,90,10719,14718,15127,57156,49.6,2 POPLAR ROAD
2175000,BA2 2AW,S,E01014417,372,30335,30518,27759,75283,49.6,61 BLOOMFIELD ROAD
375000,BA2 2BL,T,E01014434,94,28112,28536,27588,57156,49.6,30 BLOOMFIELD RISE
350000,BA2 2HA,S,E01014438,92,14464,17535,15758,51582,49.6,7 OAK AVENUE
265000,BA2 2HP,T,E01014437,80,8197,16889,9215,51582,49.6,65 MOORFIELDS ROAD
280000,BA2 2JE,T,E01014437,84,8197,16889,9215,51582,49.6,11 HAZEL GROVE
280000,BA2 2JE,T,E01014437,84,8197,16889,9215,51582,49.6,4 HAZEL GROVE
370000,BA2 2LZ,S,E01014434,80,28112,28536,27588,57156,49.6,15 GEORGIAN VIEW
443000,BA2 2QH,S,E01014434,149,28112,28536,27588,57156,49.6,4 RUSH HILL
301000,BA2 2RY,D,E01014432,90,20030,21979,11106,57156,49.6,47 UPPER BLOOMFIELD ROAD
317500,BA2 2SP,T,E01014434,71,28112,28536,27588,57156,49.6,15 OLD FOSSE ROAD
400000,BA2 2TZ,S,E01014432,93,20030,21979,11106,57156,49.6,715 WELLSWAY
339000,BA2 2UJ,T,E01014432,94,20030,21979,11106,57156,49.6,33 BANWELL ROAD
1080000,BA2 3HR,S,E01014484,203,31102,24880,24917,70731,49.6,115 LOWER OLDFIELD PARK
415000,BA2 3LF,T,E01014435,129,33638,27956,24107,51582,49.6,36 WINCHESTER ROAD
450000,BA2 3LT,T,E01014436,87,29393,23922,26265,51582,49.6,51 FAULKLAND ROAD
370000,EN1 2EX,F,E01001400,61,17153,25027,22399,80117,47.5,114A VILLAGE ROAD
570000,EN1 2LA,S,E01001400,65,17153,25027,22399,80117,47.5,7 CROSSWAY
790000,BA2 4DS,T,E01014371,129,22402,18385,2229,60275,49.6,14 PULTENEY MEWS
790000,BA2 4DS,T,E01014371,129,22402,18385,2229,60275,49.6,1 PULTENEY MEWS
357000,EN1 2SG,F,E01001405,63,15276,22144,26629,66344,47.5,5 VILLAGE PARK CLOSE
257000,EN1 4LY,F,E01001407,65,15005,23040,12710,64703,47.5,44 SEVERN DRIVE
635000,BA2 4NB,T,E01014482,115,33643,33623,31439,70731,49.6,4 DAISY BANK
495000,EN2 0EX,T,E01001408,79,17565,25627,15272,71765,47.5,9 GLOUCESTER ROAD
395000,EN2 0JG,T,E01001408,58,17565,25627,15272,71765,47.5,23 BATLEY ROAD
500000,BA2 4QQ,T,E01014481,113,33228,26188,30458,70731,49.6,37 CALTON WALK
430000,EN2 0LN,T,E01001408,78,17565,25627,15272,71765,47.5,34 STERLING ROAD
430000,EN2 0LN,T,E01001408,78,17565,25627,15272,71765,47.5,29 STERLING ROAD
310200,BA2 4SE,D,E01014416,122,25405,22073,17543,75283,49.6,150 WELLSWAY
480000,EN1 4BX,T,E01001409,80,3988,13459,8905,64703,47.5,919 GREAT CAMBRIDGE ROAD
375000,BA2 5BN,T,E01014387,72,22158,26228,18488,67173,49.6,5 PATCH STREET
500000,EN1 4BY,T,E01001409,114,3988,13459,8905,64703,47.5,929 GREAT CAMBRIDGE ROAD
297500,BA2 5BU,F,E01014389,70,19795,25248,26736,67173,49.6,22 MULBERRY WAY
260000,EN1 4UE,F,E01001409,74,3988,13459,8905,64703,47.5,16 ORTON GROVE
550000,BA2 5JZ,D,E01014389,90,19795,25248,26736,67173,49.6,14 QUARRY VALE
800000,BA2 5LJ,D,E01014416,204,25405,22073,17543,75283,49.6,48 HANSFORD SQUARE
190000,EN1 4JD,F,E01001410,31,3773,8643,6708,64703,47.5,92 MAGPIE CLOSE
815000,BA2 5LL,S,E01014416,112,25405,22073,17543,75283,49.6,74 HANSFORD SQUARE
200000,EN1 4JG,F,E01001410,38,3773,8643,6708,64703,47.5,221 MAGPIE CLOSE
897000,BA2 5LT,S,E01014416,206,25405,22073,17543,75283,49.6,75 ENTRY HILL
430000,EN2 0BN,S,E01001411,139,15551,23948,12193,71765,47.5,15 MORLEY HILL
560000,BA2 5LW,S,E01014416,80,25405,22073,17543,75283,49.6,6 HANSFORD CLOSE
630000,EN2 0ED,S,E01001411,78,15551,23948,12193,71765,47.5,94 BIRKBECK ROAD
530000,BA2 5QA,T,E01014387,115,22158,26228,18488,67173,49.6,23 HAWTHORN GROVE
670000,EN2 0ST,T,E01001411,96,15551,23948,12193,71765,47.5,34 LAVENDER ROAD
475000,BA2 5QN,S,E01014387,94,22158,26228,18488,67173,49.6,14 FOX HILL
642500,BA2 5QY,S,E01014387,103,22158,26228,18488,67173,49.6,15 HORSECOMBE BROW
702500,EN2 0BE,S,E01001413,128,25377,25878,20471,71765,47.5,39 KILVINTON DRIVE
1075000,BA2 5SL,D,E01014387,264,22158,26228,18488,67173,49.6,DENMEDE SOUTHSTOKE ROAD
975000,EN2 9AD,S,E01001413,172,25377,25878,20471,71765,47.5,4 CONWAY GARDENS
